benchmark,config,avg_sim
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.UnallocPreservesAcyclic.smt2,,15.44
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.BetreeStepRefinesMap.smt2,,18.24
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.FlushStepRefinesMap.smt2,,18.48
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GCStepRefinesMap.smt2,,18.22
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GetLookup.smt2,,17.67
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GetValue.smt2,,17.66
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GrowStepRefinesMap.smt2,,19.31
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.I.smt2,,17.68
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.IView.smt2,,17.31
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.InsertMessageStepRefinesMap.smt2,,18.03
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.LookupImpliesMap.smt2,,17.31
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.PreservesLookupsImplInterpsEqual.smt2,,17.49
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.PreservesLookupsPutImplInterpsPut.smt2,,17.6
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.QueryStepRefinesMap.smt2,,17.99
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RedirectRefinesMap.smt2,,18.48
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesInit.smt2,,18.66
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesNext.smt2,,17.34
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesNextStep.smt2,,18.47
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.SuccQueryStepRefinesMap.smt2,,17.38
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.BetreeStepRefinesMap.smt2,,19.72
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.FlushStepRefinesMap.smt2,,17.45
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.GCStepRefinesMap.smt2,,17.79
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.GrowStepRefinesMap.smt2,,17.81
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.InsertMessageStepRefinesMap.smt2,,17.55
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.LookupImpliesMap.smt2,,17.76
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsImplInterpsEqual.smt2,,16.95
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsPutImplInterpsPut.smt2,,17.75
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsRev.smt2,,18.51
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsRevExcept.smt2,,17.73
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.QueryStepRefinesMap.smt2,,18.05
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RedirectRefinesMap.smt2,,17.45
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesInit.smt2,,19.48
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesNext.smt2,,19.28
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesNextStep.smt2,,18.23
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.SuccQueryStepRefinesMap.smt2,,17.55
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Alloc.smt2,,17.53
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.CanGCRefs.smt2,,17.65
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ClosedUnderPredecessor.smt2,,18.04
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.GC.smt2,,18.44
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.GetPenultimateState.smt2,,18.73
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Init.smt2,,17.45
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Inv.smt2,,17.45
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.IsStatePath.smt2,,17.93
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LiveDataAvailable.smt2,,18.06
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LiveReferences.smt2,,17.76
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LookupIsValid.smt2,,17.9
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Next.smt2,,18.01
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.NextStep.smt2,,18.66
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.OpStep.smt2,,17.85
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Predecessors.smt2,,18.33
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ReachableReference.smt2,,18.41
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Read.smt2,,17.94
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ReadStep.smt2,,17.79
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.RefGraphIsClosed.smt2,,17.61
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Transaction.smt2,,17.97
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Write.smt2,,17.53
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.AllocPreservesInv.smt2,,17.57
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.GCPreservesInv.smt2,,18.16
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.GetPenultimateState.smt2,,18.56
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.InitImpliesInv.smt2,,18.05
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.JoinTransactions.smt2,,18.51
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction1.smt2,,18.01
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction2.smt2,,18.73
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction3.smt2,,17.9
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.NextPreservesInv.smt2,,18.46
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.NextStepPreservesInv.smt2,,19.13
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.OpStepPreservesInv.smt2,,19.2
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.SplitTransaction.smt2,,17.9
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction0Steps.smt2,,18.35
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction1Steps.smt2,,17.56
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction2Steps.smt2,,18.38
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction3Steps.smt2,,17.83
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.TransactionPreservesInv.smt2,,19.96
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.WritePreservesInv.smt2,,17.57
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.EditIsLocal.smt2,,13.69
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.FirstInGraph.smt2,,13.77
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsAcyclic.smt2,,14.3
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsClosed.smt2,,14.32
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsCycle.smt2,,13.7
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsPath.smt2,,14.26
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsPathFromTo.smt2,,14.26
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsSimple.smt2,,13.58
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewNodesAreCycleFree.smt2,,13.94
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewPath.smt2,,14.34
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewlyReachableReferences.smt2,,14.11
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.ReachableReferences.smt2,,13.69
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.Root.smt2,,14.03
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.UnallocPreservesAcyclic.smt2,,14.31
