benchmark,config,avg_sim
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.IsPathFromTo.smt2,,85.74
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.NewPath.smt2,,86.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.NewlyReachableReferences.smt2,,85.86
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.ReachableReferences.smt2,,86.41
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.Successors.smt2,,87.31
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.UndoLocalEdit.smt2,,86.41
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.AddMessageToBuffer.smt2,,86.87
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.AddMessageToNode.smt2,,85.07
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepOps.smt2,,86.8
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepReads.smt2,,86.8
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepUI.smt2,,85.83
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BufferDefinesValue.smt2,,84.8
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.FlushOps.smt2,,86.14
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.FlushReads.smt2,,85.04
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.GrowOps.smt2,,85.49
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.GrowReads.smt2,,84.96
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.InsertionOps.smt2,,84.71
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.InsertionReads.smt2,,84.96
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.InterpretLookup.smt2,,85.91
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupFollowsChildRefAtLayer.smt2,,84.44
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupFollowsChildRefs.smt2,,86.34
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupKeyValue.smt2,,84.71
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupVisitsWFNodes.smt2,,84.43
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectChildAllocs.smt2,,85.29
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectChildReads.smt2,,85.51
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectOps.smt2,,84.88
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectReads.smt2,,84.88
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidBetreeStep.smt2,,86.91
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidFlush.smt2,,84.86
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidInsertion.smt2,,84.77
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidQuery.smt2,,85.93
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidRedirect.smt2,,85.23
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidSuccQuery.smt2,,84.91
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.WFLookupForKey.smt2,,85.92
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.WFNode.smt2,,85.69
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.AllocPreservesInv.smt2,,85.38
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.GCPreservesInv.smt2,,85.37
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.GetPenultimateState.smt2,,86.32
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.InitImpliesInv.smt2,,85.02
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.JoinTransactions.smt2,,86.33
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction1.smt2,,85.84
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction2.smt2,,85.72
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction3.smt2,,86.38
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.NextPreservesInv.smt2,,85.34
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.NextStepPreservesInv.smt2,,85.94
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.OpStepPreservesInv.smt2,,86.36
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.SplitTransaction.smt2,,86.34
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction0Steps.smt2,,85.25
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction1Steps.smt2,,85.51
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction2Steps.smt2,,86.93
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction3Steps.smt2,,85.48
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.TransactionPreservesInv.smt2,,86.08
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.WritePreservesInv.smt2,,85.37
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.AcyclicGraphImpliesSimplePath.smt2,,85.77
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.LocalEditPreservesAcyclic.smt2,,86.72
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.UnallocPreservesAcyclic.smt2,,85.56
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.BetreeStepRefinesMap.smt2,,87.0
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.FlushStepRefinesMap.smt2,,87.45
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GCStepRefinesMap.smt2,,86.99
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GetLookup.smt2,,87.14
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GetValue.smt2,,87.65
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GrowStepRefinesMap.smt2,,87.65
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.I.smt2,,87.68
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.IView.smt2,,87.5
