benchmark,config,avg_sim
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupFollowsChildRefAtLayer.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupFollowsChildRefs.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupKeyValue.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupVisitsWFNodes.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectChildAllocs.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectChildReads.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectOps.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectReads.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidBetreeStep.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidFlush.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidInsertion.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidQuery.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidRedirect.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidSuccQuery.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.WFLookupForKey.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.WFNode.smt2,,0.06
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.AllocPreservesInv.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.GCPreservesInv.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.GetPenultimateState.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.InitImpliesInv.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.JoinTransactions.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction1.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction2.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction3.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.NextPreservesInv.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.NextStepPreservesInv.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.OpStepPreservesInv.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.SplitTransaction.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction0Steps.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction1Steps.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction2Steps.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction3Steps.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.TransactionPreservesInv.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.WritePreservesInv.smt2,,0.1
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.AcyclicGraphImpliesSimplePath.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.LocalEditPreservesAcyclic.smt2,,0.12
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.UnallocPreservesAcyclic.smt2,,0.12
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.BetreeStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.FlushStepRefinesMap.smt2,,0.06
