benchmark,config,total_time,result,status
1438.4.smt2,wopass-7777,2.72,unsat,ok
1438.4.smt2,wopass-8888,3.03,unsat,ok
1438.4.smt2,wopass-9999,1.82,unsat,ok
1439.0.smt2,wopass-1010,0.49,unsat,ok
1439.0.smt2,wopass-1111,0.35,unsat,ok
1439.0.smt2,wopass-2222,0.33,unsat,ok
1439.0.smt2,wopass-3333,0.33,unsat,ok
1439.0.smt2,wopass-4444,0.34,unsat,ok
1439.0.smt2,wopass-5555,0.38,unsat,ok
1439.0.smt2,wopass-6666,0.3,unsat,ok
1439.0.smt2,wopass-7777,0.38,unsat,ok
1439.0.smt2,wopass-8888,0.41,unsat,ok
1439.0.smt2,wopass-9999,0.34,unsat,ok
1439.1.smt2,wopass-1010,0.27,unsat,ok
1439.1.smt2,wopass-1111,0.29,unsat,ok
1439.1.smt2,wopass-2222,0.32,unsat,ok
1439.1.smt2,wopass-3333,0.26,unsat,ok
1439.1.smt2,wopass-4444,0.26,unsat,ok
1439.1.smt2,wopass-5555,0.31,unsat,ok
1439.1.smt2,wopass-6666,0.32,unsat,ok
1439.1.smt2,wopass-7777,0.23,unsat,ok
1439.1.smt2,wopass-8888,0.27,unsat,ok
1439.1.smt2,wopass-9999,0.26,unsat,ok
1439.2.smt2,wopass-1010,0.34,unsat,ok
1439.2.smt2,wopass-1111,0.35,unsat,ok
1439.2.smt2,wopass-2222,0.33,unsat,ok
1439.2.smt2,wopass-3333,0.37,unsat,ok
1439.2.smt2,wopass-4444,0.36,unsat,ok
1439.2.smt2,wopass-5555,0.35,unsat,ok
1439.2.smt2,wopass-6666,0.33,unsat,ok
1439.2.smt2,wopass-7777,0.28,unsat,ok
1439.2.smt2,wopass-8888,0.35,unsat,ok
1439.2.smt2,wopass-9999,0.33,unsat,ok
1439.3.smt2,wopass-1010,3.78,unsat,ok
1439.3.smt2,wopass-1111,4.95,unsat,ok
1439.3.smt2,wopass-2222,3.23,unsat,ok
1439.3.smt2,wopass-3333,3.46,unsat,ok
1439.3.smt2,wopass-4444,3.78,unsat,ok
1439.3.smt2,wopass-5555,11.17,unsat,ok
1439.3.smt2,wopass-6666,2.029,unsat,ok
1439.3.smt2,wopass-7777,2.93,unsat,ok
1439.3.smt2,wopass-8888,2.82,unsat,ok
1439.3.smt2,wopass-9999,2.61,unsat,ok
1439.4.smt2,wopass-1010,1.93,unsat,ok
1439.4.smt2,wopass-1111,2.029,unsat,ok
1439.4.smt2,wopass-2222,1.98,unsat,ok
1439.4.smt2,wopass-3333,3.17,unsat,ok
1439.4.smt2,wopass-4444,1.97,unsat,ok
1439.4.smt2,wopass-5555,2.7,unsat,ok
1439.4.smt2,wopass-6666,2.65,unsat,ok
1439.4.smt2,wopass-7777,2.39,unsat,ok
1439.4.smt2,wopass-8888,2.48,unsat,ok
1439.4.smt2,wopass-9999,3.51,unsat,ok
1440.0.smt2,wopass-1010,0.24,unsat,ok
1440.0.smt2,wopass-1111,0.2,unsat,ok
1440.0.smt2,wopass-2222,0.24,unsat,ok
1440.0.smt2,wopass-3333,0.26,unsat,ok
1440.0.smt2,wopass-4444,0.29,unsat,ok
1440.0.smt2,wopass-5555,0.31,unsat,ok
1440.0.smt2,wopass-6666,0.25,unsat,ok
1440.0.smt2,wopass-7777,0.24,unsat,ok
1440.0.smt2,wopass-8888,0.26,unsat,ok
1440.0.smt2,wopass-9999,0.19,unsat,ok
1440.1.smt2,wopass-1010,0.26,unsat,ok
1440.1.smt2,wopass-1111,0.23,unsat,ok
1440.1.smt2,wopass-2222,0.21,unsat,ok
1440.1.smt2,wopass-3333,0.27,unsat,ok
1440.1.smt2,wopass-4444,0.24,unsat,ok
1440.1.smt2,wopass-5555,0.23,unsat,ok
1440.1.smt2,wopass-6666,0.29,unsat,ok
1440.1.smt2,wopass-7777,0.24,unsat,ok
1440.1.smt2,wopass-8888,0.25,unsat,ok
1440.1.smt2,wopass-9999,0.23,unsat,ok
1440.2.smt2,wopass-1010,0.21,unsat,ok
1440.2.smt2,wopass-1111,0.25,unsat,ok
1440.2.smt2,wopass-2222,0.22,unsat,ok
1440.2.smt2,wopass-3333,0.21,unsat,ok
1440.2.smt2,wopass-4444,0.22,unsat,ok
1440.2.smt2,wopass-5555,0.26,unsat,ok
1440.2.smt2,wopass-6666,0.26,unsat,ok
1440.2.smt2,wopass-7777,0.19,unsat,ok
1440.2.smt2,wopass-8888,0.24,unsat,ok
1440.2.smt2,wopass-9999,0.21,unsat,ok
1440.3.smt2,wopass-1010,3.25,unsat,ok
1440.3.smt2,wopass-1111,5.51,unsat,ok
1440.3.smt2,wopass-2222,4.51,unsat,ok
1440.3.smt2,wopass-3333,6.58,unsat,ok
1440.3.smt2,wopass-4444,3.77,unsat,ok
1440.3.smt2,wopass-5555,5.47,unsat,ok
1440.3.smt2,wopass-6666,1.8,unsat,ok
1440.3.smt2,wopass-7777,2.7,unsat,ok
1440.3.smt2,wopass-8888,2.58,unsat,ok
1440.3.smt2,wopass-9999,3.42,unsat,ok
1440.4.smt2,wopass-1010,1.15,unsat,ok
1440.4.smt2,wopass-1111,1.1,unsat,ok
1440.4.smt2,wopass-2222,1.04,unsat,ok
1440.4.smt2,wopass-3333,0.93,unsat,ok
1440.4.smt2,wopass-4444,1.16,unsat,ok
1440.4.smt2,wopass-5555,1.09,unsat,ok
1440.4.smt2,wopass-6666,1.03,unsat,ok
1440.4.smt2,wopass-7777,1.7,unsat,ok
1440.4.smt2,wopass-8888,1.17,unsat,ok
1440.4.smt2,wopass-9999,0.93,unsat,ok
1441.0.smt2,wopass-1010,0.14,unsat,ok
1441.0.smt2,wopass-1111,0.14,unsat,ok
1441.0.smt2,wopass-2222,0.13,unsat,ok
1441.0.smt2,wopass-3333,0.31,unsat,ok
1441.0.smt2,wopass-4444,0.28,unsat,ok
1441.0.smt2,wopass-5555,0.29,unsat,ok
1441.0.smt2,wopass-6666,0.13,unsat,ok
1441.0.smt2,wopass-7777,0.28,unsat,ok
1441.0.smt2,wopass-8888,0.31,unsat,ok
1441.0.smt2,wopass-9999,0.14,unsat,ok
1441.1.smt2,wopass-1010,0.17,unsat,ok
1441.1.smt2,wopass-1111,0.22,unsat,ok
1441.1.smt2,wopass-2222,0.21,unsat,ok
1441.1.smt2,wopass-3333,0.17,unsat,ok
1441.1.smt2,wopass-4444,0.18,unsat,ok
1441.1.smt2,wopass-5555,0.19,unsat,ok
1441.1.smt2,wopass-6666,0.23,unsat,ok
1441.1.smt2,wopass-7777,0.19,unsat,ok
1441.1.smt2,wopass-8888,0.17,unsat,ok
1441.1.smt2,wopass-9999,0.19,unsat,ok
1441.2.smt2,wopass-1010,0.19,unsat,ok
1441.2.smt2,wopass-1111,0.18,unsat,ok
1441.2.smt2,wopass-2222,0.18,unsat,ok
1441.2.smt2,wopass-3333,0.18,unsat,ok
1441.2.smt2,wopass-4444,0.21,unsat,ok
1441.2.smt2,wopass-5555,0.21,unsat,ok
1441.2.smt2,wopass-6666,0.2,unsat,ok
1441.2.smt2,wopass-7777,0.22,unsat,ok
1441.2.smt2,wopass-8888,0.18,unsat,ok
1441.2.smt2,wopass-9999,0.25,unsat,ok
1441.3.smt2,wopass-1010,2.42,unsat,ok
1441.3.smt2,wopass-1111,1.84,unsat,ok
1441.3.smt2,wopass-2222,3.45,unsat,ok
1441.3.smt2,wopass-3333,5.49,unsat,ok
1441.3.smt2,wopass-4444,3.75,unsat,ok
1441.3.smt2,wopass-5555,4.03,unsat,ok
1441.3.smt2,wopass-6666,2.7,unsat,ok
1441.3.smt2,wopass-7777,10.06,unsat,ok
1441.3.smt2,wopass-8888,3.95,unsat,ok
1441.3.smt2,wopass-9999,3.62,unsat,ok
1441.4.smt2,wopass-1010,1.59,unsat,ok
1441.4.smt2,wopass-1111,1.77,unsat,ok
1441.4.smt2,wopass-2222,1.24,unsat,ok
1441.4.smt2,wopass-3333,1.18,unsat,ok
1441.4.smt2,wopass-4444,1.58,unsat,ok
1441.4.smt2,wopass-5555,1.54,unsat,ok
1441.4.smt2,wopass-6666,1.72,unsat,ok
1441.4.smt2,wopass-7777,1.26,unsat,ok
1441.4.smt2,wopass-8888,1.41,unsat,ok
1441.4.smt2,wopass-9999,1.51,unsat,ok
1443.0.smt2,wopass-1010,0.08,unsat,ok
1443.0.smt2,wopass-1111,0.07,unsat,ok
1443.0.smt2,wopass-2222,0.09,unsat,ok
1443.0.smt2,wopass-3333,0.08,unsat,ok
1443.0.smt2,wopass-4444,0.08,unsat,ok
1443.0.smt2,wopass-5555,0.09,unsat,ok
1443.0.smt2,wopass-6666,0.08,unsat,ok
1443.0.smt2,wopass-7777,0.09,unsat,ok
1443.0.smt2,wopass-8888,0.07,unsat,ok
1443.0.smt2,wopass-9999,0.09,unsat,ok
1443.1.smt2,wopass-1010,0.02,unsat,ok
1443.1.smt2,wopass-1111,0.02,unsat,ok
1443.1.smt2,wopass-2222,0.02,unsat,ok
1443.1.smt2,wopass-3333,0.02,unsat,ok
1443.1.smt2,wopass-4444,0.02,unsat,ok
1443.1.smt2,wopass-5555,0.02,unsat,ok
1443.1.smt2,wopass-6666,0.02,unsat,ok
1443.1.smt2,wopass-7777,0.02,unsat,ok
1443.1.smt2,wopass-8888,0.02,unsat,ok
1443.1.smt2,wopass-9999,0.02,unsat,ok
1443.2.smt2,wopass-1010,0.02,unsat,ok
1443.2.smt2,wopass-1111,0.02,unsat,ok
1443.2.smt2,wopass-2222,0.02,unsat,ok
1443.2.smt2,wopass-3333,0.02,unsat,ok
1443.2.smt2,wopass-4444,0.02,unsat,ok
1443.2.smt2,wopass-5555,0.02,unsat,ok
1443.2.smt2,wopass-6666,0.02,unsat,ok
1443.2.smt2,wopass-7777,0.02,unsat,ok
1443.2.smt2,wopass-8888,0.02,unsat,ok
1443.2.smt2,wopass-9999,0.02,unsat,ok
1443.3.smt2,wopass-1010,0.7,unsat,ok
1443.3.smt2,wopass-1111,0.52,unsat,ok
1443.3.smt2,wopass-2222,0.66,unsat,ok
1443.3.smt2,wopass-3333,0.66,unsat,ok
1443.3.smt2,wopass-4444,0.77,unsat,ok
1443.3.smt2,wopass-5555,0.53,unsat,ok
1443.3.smt2,wopass-6666,0.62,unsat,ok
1443.3.smt2,wopass-7777,0.68,unsat,ok
1443.3.smt2,wopass-8888,0.62,unsat,ok
1443.3.smt2,wopass-9999,0.77,unsat,ok
1443.4.smt2,wopass-1010,0.52,unsat,ok
1443.4.smt2,wopass-1111,0.53,unsat,ok
1443.4.smt2,wopass-2222,0.6,unsat,ok
1443.4.smt2,wopass-3333,0.46,unsat,ok
1443.4.smt2,wopass-4444,0.51,unsat,ok
1443.4.smt2,wopass-5555,0.48,unsat,ok
1443.4.smt2,wopass-6666,0.44,unsat,ok
1443.4.smt2,wopass-7777,0.56,unsat,ok
1443.4.smt2,wopass-8888,0.5,unsat,ok
1443.4.smt2,wopass-9999,0.47,unsat,ok
1446.0.smt2,wopass-1010,0.08,unsat,ok
1446.0.smt2,wopass-1111,0.06,unsat,ok
1446.0.smt2,wopass-2222,0.06,unsat,ok
1446.0.smt2,wopass-3333,0.06,unsat,ok
1446.0.smt2,wopass-4444,0.05,unsat,ok
1446.0.smt2,wopass-5555,0.07,unsat,ok
1446.0.smt2,wopass-6666,0.06,unsat,ok
1446.0.smt2,wopass-7777,0.06,unsat,ok
1446.0.smt2,wopass-8888,0.06,unsat,ok
1446.0.smt2,wopass-9999,0.06,unsat,ok
1446.1.smt2,wopass-1010,0.02,unsat,ok
1446.1.smt2,wopass-1111,0.02,unsat,ok
1446.1.smt2,wopass-2222,0.02,unsat,ok
1446.1.smt2,wopass-3333,0.02,unsat,ok
1446.1.smt2,wopass-4444,0.02,unsat,ok
1446.1.smt2,wopass-5555,0.02,unsat,ok
1446.1.smt2,wopass-6666,0.02,unsat,ok
1446.1.smt2,wopass-7777,0.02,unsat,ok
1446.1.smt2,wopass-8888,0.02,unsat,ok
1446.1.smt2,wopass-9999,0.02,unsat,ok
1446.2.smt2,wopass-1010,0.02,unsat,ok
1446.2.smt2,wopass-1111,0.02,unsat,ok
1446.2.smt2,wopass-2222,0.02,unsat,ok
1446.2.smt2,wopass-3333,0.02,unsat,ok
1446.2.smt2,wopass-4444,0.02,unsat,ok
1446.2.smt2,wopass-5555,0.02,unsat,ok
1446.2.smt2,wopass-6666,0.02,unsat,ok
1446.2.smt2,wopass-7777,0.02,unsat,ok
1446.2.smt2,wopass-8888,0.02,unsat,ok
1446.2.smt2,wopass-9999,0.02,unsat,ok
1446.3.smt2,wopass-1010,0.62,unsat,ok
1446.3.smt2,wopass-1111,0.72,unsat,ok
1446.3.smt2,wopass-2222,0.59,unsat,ok
1446.3.smt2,wopass-3333,0.65,unsat,ok
1446.3.smt2,wopass-4444,0.62,unsat,ok
1446.3.smt2,wopass-5555,0.62,unsat,ok
1446.3.smt2,wopass-6666,0.64,unsat,ok
1446.3.smt2,wopass-7777,0.61,unsat,ok
1446.3.smt2,wopass-8888,0.63,unsat,ok
1446.3.smt2,wopass-9999,0.52,unsat,ok
1446.4.smt2,wopass-1010,0.48,unsat,ok
1446.4.smt2,wopass-1111,0.54,unsat,ok
1446.4.smt2,wopass-2222,0.45,unsat,ok
1446.4.smt2,wopass-3333,0.65,unsat,ok
1446.4.smt2,wopass-4444,0.61,unsat,ok
1446.4.smt2,wopass-5555,0.41,unsat,ok
1446.4.smt2,wopass-6666,0.52,unsat,ok
1446.4.smt2,wopass-7777,0.49,unsat,ok
1446.4.smt2,wopass-8888,0.52,unsat,ok
1446.4.smt2,wopass-9999,0.49,unsat,ok
1448.0.smt2,wopass-1010,0.2,unsat,ok
1448.0.smt2,wopass-1111,0.34,unsat,ok
1448.0.smt2,wopass-2222,0.21,unsat,ok
1448.0.smt2,wopass-3333,0.31,unsat,ok
1448.0.smt2,wopass-4444,0.21,unsat,ok
1448.0.smt2,wopass-5555,0.23,unsat,ok
1448.0.smt2,wopass-6666,0.19,unsat,ok
1448.0.smt2,wopass-7777,0.21,unsat,ok
1448.0.smt2,wopass-8888,0.22,unsat,ok
1448.0.smt2,wopass-9999,0.2,unsat,ok
