benchmark,config,norm_time,total_time,sha256sum,result,status
common-queries-Common.AppendOptimizedList-14.smt2,wpass-9999,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-1010,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-1111,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-2222,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-3333,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-4444,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-5555,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-6666,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-7777,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-8888,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-15.smt2,wpass-9999,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-1010,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-1111,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-2222,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-3333,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-4444,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-5555,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-6666,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-7777,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-8888,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-16.smt2,wpass-9999,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-1010,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-1111,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-2222,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-3333,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-4444,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-5555,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-6666,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-7777,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-8888,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-17.smt2,wpass-9999,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-1010,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-1111,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-2222,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-3333,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-4444,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-5555,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-6666,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-7777,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-8888,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-18.smt2,wpass-9999,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-1010,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-1111,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-2222,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-3333,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-4444,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-5555,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-6666,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-7777,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-8888,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-19.smt2,wpass-9999,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-1010,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-1111,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-2222,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-3333,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-4444,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-5555,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-6666,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-7777,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-8888,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-2.smt2,wpass-9999,0.004,0.02,46420a7e4977e446e3dc98951fe6a4d35190b71349673a3589612cc0faf302e4,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-1010,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-1111,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-2222,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-3333,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-4444,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-5555,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-6666,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-7777,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-8888,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-20.smt2,wpass-9999,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-1010,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-1111,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-2222,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-3333,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-4444,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-5555,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-6666,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-7777,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-8888,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-21.smt2,wpass-9999,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-1010,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-1111,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-2222,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-3333,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-4444,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-5555,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-6666,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-7777,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-8888,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-22.smt2,wpass-9999,0.004,0.02,a3498a08a4b9cb306cd64fdb8bbe55cf69301717f5aeb5db15ffeac18efef43f,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-1010,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-1111,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-2222,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-3333,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-4444,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-5555,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-6666,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-7777,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-8888,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-23.smt2,wpass-9999,0.004,0.02,7dfb5b06dd6f34ba1fab7c6e28065cf9414bf5a40700aa1ec5ec58cbd37a64b0,unsat,ok
common-queries-Common.AppendOptimizedList-24.smt2,wpass-1010,0.004,0.02,c270c619ac7acfa888f62712d858d0e50ba9eb0a14293581b2e644dbb5725cbf,unsat,ok
common-queries-Common.AppendOptimizedList-24.smt2,wpass-1111,0.004,0.02,c270c619ac7acfa888f62712d858d0e50ba9eb0a14293581b2e644dbb5725cbf,unsat,ok
common-queries-Common.AppendOptimizedList-24.smt2,wpass-2222,0.004,0.02,c270c619ac7acfa888f62712d858d0e50ba9eb0a14293581b2e644dbb5725cbf,unsat,ok
