benchmark,config,norm_time,total_time,sha256sum,result,status
1434.3.smt2,wpass-3333,0.001,1.6,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.3.smt2,wpass-4444,0.001,1.56,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.3.smt2,wpass-5555,0.001,1.52,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.3.smt2,wpass-6666,0.001,1.55,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.3.smt2,wpass-7777,0.001,1.69,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.3.smt2,wpass-8888,0.001,1.63,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.3.smt2,wpass-9999,0.001,1.63,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.4.smt2,wpass-1010,0.001,3.54,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-1111,0.001,2.8,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-2222,0.001,2.97,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-3333,0.001,3.0,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-4444,0.001,2.89,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-5555,0.001,2.93,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-6666,0.001,3.01,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-7777,0.001,2.91,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-8888,0.001,3.01,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1434.4.smt2,wpass-9999,0.001,3.17,659c8e7a137e973b6b105e265555f11cc4b3d7050597497551473ef5bdbefe65,unsat,ok
1435.0.smt2,wpass-1010,0.0,0.3,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-1111,0.0,0.32,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-2222,0.0,0.35,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-3333,0.0,0.32,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-4444,0.0,0.31,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-5555,0.0,0.33,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-6666,0.0,0.32,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-7777,0.0,0.31,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-8888,0.0,0.38,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.0.smt2,wpass-9999,0.0,0.3,f0f3938e97f498e3114b413d543f7885b3a956b296f36804a9b0f1f98548c424,unsat,ok
1435.1.smt2,wpass-1010,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.1.smt2,wpass-1111,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.1.smt2,wpass-2222,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.1.smt2,wpass-3333,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.1.smt2,wpass-4444,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
